normal,normal,1
normal,fighting,1
normal,flying,1
normal,poison,1
normal,ground,1
normal,rock,0.5
normal,bug,1
normal,ghost,0
normal,fire,1
normal,water,1
normal,grass,1
normal,electric,1
normal,psychic,1
normal,ice,1
normal,dragon,1
fighting,normal,2
fighting,fighting,1
fighting,flying,0.5
fighting,poison,0.5
fighting,ground,1
fighting,rock,2
fighting,bug,0.5
fighting,ghost,0
fighting,fire,1
fighting,water,1
fighting,grass,1
fighting,electric,1
fighting,psychic,0.5
fighting,ice,2
fighting,dragon,1
flying,normal,1
flying,fighting,2
flying,flying,1
flying,poison,1
flying,ground,1
flying,rock,0.5
flying,bug,2
flying,ghost,1
flying,fire,1
flying,water,1
flying,grass,2
flying,electric,0.5
flying,psychic,1
flying,ice,1
flying,dragon,1
poison,normal,1
poison,fighting,1
poison,flying,1
poison,poison,0.5
poison,ground,0.5
poison,rock,0.5
poison,bug,2
poison,ghost,0.5
poison,fire,1
poison,water,1
poison,grass,2
poison,electric,1
poison,psychic,1
poison,ice,1
poison,dragon,1
ground,normal,1
ground,fighting,1
ground,flying,0
ground,poison,2
ground,ground,1
ground,rock,2
ground,bug,0.5
ground,ghost,1
ground,fire,2
ground,water,1
ground,grass,0.5
ground,electric,2
ground,psychic,1
ground,ice,1
ground,dragon,1
rock,normal,1
rock,fighting,0.5
rock,flying,2
rock,poison,1
rock,ground,0.5
rock,rock,1
rock,bug,2
rock,ghost,1
rock,fire,2
rock,water,1
rock,grass,1
rock,electric,1
rock,psychic,1
rock,ice,2
rock,dragon,1
bug,normal,1
bug,fighting,0.5
bug,flying,0.5
bug,poison,2
bug,ground,1
bug,rock,1
bug,bug,1
bug,ghost,0.5
bug,fire,0.5
bug,water,1
bug,grass,2
bug,electric,1
bug,psychic,2
bug,ice,1
bug,dragon,1
ghost,normal,0
ghost,fighting,1
ghost,flying,1
ghost,poison,1
ghost,ground,1
ghost,rock,1
ghost,bug,1
ghost,ghost,2
ghost,fire,1
ghost,water,1
ghost,grass,1
ghost,electric,1
ghost,psychic,0
ghost,ice,1
ghost,dragon,1
fire,normal,1
fire,fighting,1
fire,flying,1
fire,poison,1
fire,ground,1
fire,rock,0.5
fire,bug,2
fire,ghost,1
fire,fire,0.5
fire,water,0.5
fire,grass,2
fire,electric,1
fire,psychic,1
fire,ice,2
fire,dragon,0.5
water,normal,1
water,fighting,1
water,flying,1
water,poison,1
water,ground,2
water,rock,2
water,bug,1
water,ghost,1
water,fire,2
water,water,0.5
water,grass,0.5
water,electric,1
water,psychic,1
water,ice,1
water,dragon,0.5
grass,normal,1
grass,fighting,1
grass,flying,0.5
grass,poison,0.5
grass,ground,2
grass,rock,2
grass,bug,0.5
grass,ghost,1
grass,fire,0.5
grass,water,2
grass,grass,0.5
grass,electric,1
grass,psychic,1
grass,ice,1
grass,dragon,0.5
electric,normal,1
electric,fighting,1
electric,flying,2
electric,poison,1
electric,ground,0
electric,rock,1
electric,bug,1
electric,ghost,1
electric,fire,1
electric,water,2
electric,grass,0.5
electric,electric,0.5
electric,psychic,1
electric,ice,1
electric,dragon,0.5
psychic,normal,1
psychic,fighting,2
psychic,flying,1
psychic,poison,2
psychic,ground,1
psychic,rock,1
psychic,bug,1
psychic,ghost,1
psychic,fire,1
psychic,water,1
psychic,grass,1
psychic,electric,1
psychic,psychic,0.5
psychic,ice,1
psychic,dragon,1
ice,normal,1
ice,fighting,1
ice,flying,2
ice,poison,1
ice,ground,2
ice,rock,1
ice,bug,1
ice,ghost,1
ice,fire,1
ice,water,0.5
ice,grass,2
ice,electric,1
ice,psychic,1
ice,ice,0.5
ice,dragon,2
dragon,normal,1
dragon,fighting,1
dragon,flying,1
dragon,poison,1
dragon,ground,1
dragon,rock,1
dragon,bug,1
dragon,ghost,1
dragon,fire,1
dragon,water,1
dragon,grass,1
dragon,electric,1
dragon,psychic,1
dragon,ice,1
dragon,dragon,2
